Function,x,n,time_microseconds
Naive,1,1,0
UnoptimizedDC,1,1,0
OptimizedDC,1,1,0
Naive,1,1,0
UnoptimizedDC,1,1,0
OptimizedDC,1,1,0
Naive,1,1,0
UnoptimizedDC,1,1,0
OptimizedDC,1,1,0
Naive,1,1,0
UnoptimizedDC,1,1,0
OptimizedDC,1,1,0
Naive,1,1,0
UnoptimizedDC,1,1,0
OptimizedDC,1,1,0
Naive,1,1,0
UnoptimizedDC,1,1,0
OptimizedDC,1,1,0
Naive,1,1,0
UnoptimizedDC,1,1,0
OptimizedDC,1,1,0
Naive,1,1,0
UnoptimizedDC,1,1,0
OptimizedDC,1,1,0
Naive,1,1,0
UnoptimizedDC,1,1,0
OptimizedDC,1,1,0
Naive,1,1,0
UnoptimizedDC,1,1,0
OptimizedDC,1,1,0
Naive,1,2,0
UnoptimizedDC,1,2,0
OptimizedDC,1,2,0
Naive,1,2,0
UnoptimizedDC,1,2,0
OptimizedDC,1,2,0
Naive,1,2,0
UnoptimizedDC,1,2,0
OptimizedDC,1,2,0
Naive,1,2,0
UnoptimizedDC,1,2,0
OptimizedDC,1,2,0
Naive,1,2,0
UnoptimizedDC,1,2,0
OptimizedDC,1,2,0
Naive,1,2,0
UnoptimizedDC,1,2,0
OptimizedDC,1,2,0
Naive,1,2,0
UnoptimizedDC,1,2,0
OptimizedDC,1,2,0
Naive,1,2,0
UnoptimizedDC,1,2,0
OptimizedDC,1,2,0
Naive,1,2,0
UnoptimizedDC,1,2,0
OptimizedDC,1,2,0
Naive,1,2,0
UnoptimizedDC,1,2,0
OptimizedDC,1,2,0
Naive,1,3,0
UnoptimizedDC,1,3,0
OptimizedDC,1,3,0
Naive,1,3,0
UnoptimizedDC,1,3,0
OptimizedDC,1,3,0
Naive,1,3,0
UnoptimizedDC,1,3,0
OptimizedDC,1,3,0
Naive,1,3,0
UnoptimizedDC,1,3,0
OptimizedDC,1,3,0
Naive,1,3,0
UnoptimizedDC,1,3,0
